source_file,Water Control Zone,Station,Dates,monitoring_period,monitoring_start_year,temperature,salinity,dissolved_oxygen_mg_l,turbidity,suspended_solids,chlorophyll_a,ammonia_nitrogen,total_inorganic_nitrogen
marine-historical-2012-en.csv,Mirs Bay,MM13,2012-02-15,2011-12,2011,15.6,31.3,8.2,1.4,1.3,1.0,0.028,0.28
marine-historical-2012-en.csv,Mirs Bay,MM13,2012-03-23,2011-12,2011,22.0,33.8,7.0,1.3,1.2,0.3,0.021,0.03
marine-historical-2012-en.csv,Mirs Bay,MM13,2012-04-23,2012-13,2012,23.4,33.5,8.4,1.3,0.5,0.5,0.02,0.02
marine-historical-2012-en.csv,Mirs Bay,MM13,2012-05-16,2012-13,2012,26.9,30.6,8.9,0.8,0.7,1.8,0.038,0.13
marine-historical-2012-en.csv,Mirs Bay,MM13,2012-06-13,2012-13,2012,27.8,29.7,8.3,0.9,0.8,4.4,0.05,0.2
marine-historical-2012-en.csv,Mirs Bay,MM13,2012-07-16,2012-13,2012,28.9,24.4,8.8,1.2,2.2,8.5,0.015,0.31
marine-historical-2012-en.csv,Mirs Bay,MM13,2012-08-15,2012-13,2012,28.2,29.4,7.1,0.5,1.3,6.4,0.045,0.12
marine-historical-2012-en.csv,Mirs Bay,MM13,2012-09-19,2012-13,2012,28.1,32.2,6.6,0.9,0.5,0.8,0.023,0.03
marine-historical-2012-en.csv,Mirs Bay,MM13,2012-10-10,2012-13,2012,27.2,32.8,6.1,2.9,2.6,0.4,0.012,0.06
marine-historical-2012-en.csv,Mirs Bay,MM13,2012-11-12,2012-13,2012,24.4,33.2,6.6,1.4,1.4,1.5,0.017,0.04
marine-historical-2012-en.csv,Mirs Bay,MM13,2012-12-14,2012-13,2012,22.3,33.7,6.7,1.6,1.1,0.6,0.028,0.04
marine-historical-2012-en.csv,Mirs Bay,MM14,2012-01-16,2011-12,2011,15.9,31.1,8.0,2.3,2.9,1.1,0.015,0.29
marine-historical-2012-en.csv,Mirs Bay,MM14,2012-02-15,2011-12,2011,15.3,31.1,8.3,1.6,1.3,0.9,0.021,0.32
marine-historical-2012-en.csv,Mirs Bay,MM14,2012-03-23,2011-12,2011,21.6,33.6,7.1,1.1,1.2,0.9,0.031,0.06
marine-historical-2012-en.csv,Mirs Bay,MM14,2012-04-23,2012-13,2012,22.7,33.0,8.2,2.1,0.6,0.8,0.043,0.06
marine-historical-2012-en.csv,Mirs Bay,MM14,2012-05-16,2012-13,2012,27.0,30.6,8.8,0.9,0.7,3.2,0.062,0.18
marine-historical-2012-en.csv,Mirs Bay,MM14,2012-06-13,2012-13,2012,27.6,31.7,8.4,1.5,0.9,3.3,0.042,0.05
marine-historical-2012-en.csv,Mirs Bay,MM14,2012-07-16,2012-13,2012,26.5,29.7,7.5,1.6,2.2,8.8,0.015,0.14
marine-historical-2012-en.csv,Mirs Bay,MM14,2012-08-15,2012-13,2012,28.5,30.7,7.5,0.3,1.1,4.1,0.053,0.08
marine-historical-2012-en.csv,Mirs Bay,MM14,2012-09-19,2012-13,2012,27.9,32.2,6.6,0.5,0.5,2.1,0.018,0.02
marine-historical-2012-en.csv,Mirs Bay,MM14,2012-10-10,2012-13,2012,27.2,32.7,6.0,4.5,1.9,0.3,0.005,0.05
marine-historical-2012-en.csv,Mirs Bay,MM14,2012-11-12,2012-13,2012,24.4,33.1,6.5,1.0,0.9,0.5,0.006,0.03
marine-historical-2012-en.csv,Mirs Bay,MM14,2012-12-14,2012-13,2012,20.0,32.9,7.0,6.5,7.5,1.2,0.022,0.12
marine-historical-2012-en.csv,Mirs Bay,MM15,2012-01-16,2011-12,2011,16.0,31.1,8.1,1.0,1.2,0.9,0.019,0.28
marine-historical-2012-en.csv,Mirs Bay,MM15,2012-02-15,2011-12,2011,15.8,31.3,8.3,2.4,0.6,0.2,0.015,0.28
marine-historical-2012-en.csv,Mirs Bay,MM15,2012-03-23,2011-12,2011,17.5,31.6,8.4,0.7,0.9,2.1,0.025,0.18
marine-historical-2012-en.csv,Mirs Bay,MM15,2012-04-23,2012-13,2012,22.7,32.9,8.3,1.0,0.8,0.5,0.036,0.05
marine-historical-2012-en.csv,Mirs Bay,MM15,2012-05-16,2012-13,2012,27.5,31.3,9.2,2.2,0.8,3.5,0.042,0.05
marine-historical-2012-en.csv,Mirs Bay,MM15,2012-06-13,2012-13,2012,28.1,30.4,8.2,0.6,0.8,1.4,0.069,0.08
marine-historical-2012-en.csv,Mirs Bay,MM15,2012-07-16,2012-13,2012,27.8,32.6,7.3,0.8,1.1,1.2,0.012,0.02
marine-historical-2012-en.csv,Mirs Bay,MM15,2012-08-15,2012-13,2012,28.8,31.0,6.5,0.6,1.0,2.1,0.077,0.09
marine-historical-2012-en.csv,Mirs Bay,MM15,2012-09-19,2012-13,2012,27.9,32.3,6.7,0.5,0.5,2.2,0.019,0.02
marine-historical-2012-en.csv,Mirs Bay,MM15,2012-10-10,2012-13,2012,27.4,32.6,6.1,1.2,1.1,1.1,0.015,0.03
marine-historical-2012-en.csv,Mirs Bay,MM15,2012-11-12,2012-13,2012,24.4,32.9,7.0,0.8,0.7,2.1,0.013,0.04
marine-historical-2012-en.csv,Mirs Bay,MM15,2012-12-14,2012-13,2012,20.0,32.8,7.0,4.6,4.9,1.3,0.022,0.14
marine-historical-2012-en.csv,Mirs Bay,MM16,2012-01-16,2011-12,2011,16.5,30.9,8.2,1.4,1.7,1.9,0.024,0.19
marine-historical-2012-en.csv,Mirs Bay,MM16,2012-02-15,2011-12,2011,15.9,31.2,8.5,0.8,0.7,0.7,0.014,0.29
marine-historical-2012-en.csv,Mirs Bay,MM16,2012-03-23,2011-12,2011,18.3,31.4,11.3,0.3,1.9,7.1,0.035,0.05
marine-historical-2012-en.csv,Mirs Bay,MM16,2012-04-23,2012-13,2012,22.3,32.4,8.3,0.8,0.8,0.7,0.045,0.06
marine-historical-2012-en.csv,Mirs Bay,MM16,2012-05-16,2012-13,2012,27.6,30.5,8.2,0.7,0.8,1.5,0.044,0.06
